,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Atayal,0.015176,-0.444351,-0.042866,-0.068512,0.135034,0.060581,-0.002951,-0.014102,-0.022725,-0.019418,0.038161,0.004046,-0.003089,0.003074,0.013617,0.007882,-0.00452,0.004673,0.005475,-0.016063,0.003494,-0.02495,-0.000726,-0.006587,-0.050122
Australian,-0.042115,-0.235095,-0.213639,0.234499,0.138487,-0.340247,-0.003173,0.0075,-0.008283,0.00082,-0.006171,0.001199,0.000818,-0.002684,-0.003529,-0.000133,0.01004,0.002027,-0.002388,0.006065,0.003556,-0.000371,-0.003389,0.001265,-0.00455
Austrian,0.129089,0.135005,0.054394,0.032737,0.034776,0.012567,0.00723,0.006244,0.002827,0.002755,-0.003878,0.000785,-0.001294,0.002785,0.000503,0.003697,0.000222,0.00079,0.003179,0.000839,-0.000991,-0.002655,0.001667,0.002963,-0.001028
Avar,0.114341,0.104415,-0.023244,0.012186,-0.041518,0.012246,0.009187,-0.003797,-0.057527,-0.040539,0.00093,0.005245,-0.010636,-0.007206,0.015164,-0.002362,-0.001019,-0.001301,-0.006891,0.003854,-0.000386,0.001214,0.004325,0.009859,-0.002014
Aymara,0.056912,-0.312783,0.11917,0.093024,-0.114791,-0.014502,-0.301519,-0.359293,-0.009613,-0.016401,-0.000325,0.000899,-0.004608,0.023121,-0.013572,0.003447,0.00691,0.000253,-0.00176,0.002501,-0.001497,0.004081,0.003697,0.000361,-0.007544
Azeri,0.092197,0.089152,-0.049383,-0.040613,-0.036185,-0.004741,0.004317,-0.003838,-0.028278,-0.009764,-0.001821,-0.000237,0.000767,-0.001485,0.00155,0.004327,-0.002594,0.00122,0.001971,-0.00489,-0.000236,-0.001022,-0.001213,-0.002283,0.000889
Azeri_Dagestan,0.09969,0.096221,-0.04054,-0.02366,-0.03575,0.001836,0.006032,-0.004654,-0.039678,-0.018224,-0.002125,0.003572,-0.003159,-0.001158,0.007148,-0.000122,-0.00402,8.5e-05,-0.002168,-0.004012,0.000374,-0.00069,0.000626,5e-05,0.000709
Azeri_Turkey,0.094852,0.096813,-0.047894,-0.038114,-0.036417,-0.006414,0.004308,-0.005154,-0.025702,-0.00814,-0.002544,1e-04,-0.000248,0.002752,0.000362,-0.006718,-0.012734,0.005659,0.005489,-0.005669,0.00025,0.000618,-0.002177,-0.002812,0.002355
Bahun,0.056912,-0.104853,-0.096449,0.064197,-0.048778,0.043019,0.001351,0.006692,0.00767,0.009522,-0.022166,-0.004608,0.001933,-0.00898,0.003495,0.002884,0.003292,0.00285,-0.001697,-0.007285,-0.001341,0.001453,0.007179,-0.000512,0.007245
Bajo,0.002655,-0.385563,-0.096668,0.01292,0.145976,-0.031886,-0.002193,-0.009461,-0.01718,-0.018284,0.050232,0.006145,-0.004856,-0.003028,0.005565,0.004066,0.000348,0.002196,0.003897,-0.00346,-0.004908,-0.014138,-0.004478,-0.002972,-0.026265
Baka,-0.640255,0.062963,0.020553,0.030362,0.003385,0.009901,0.153462,-0.117226,-0.021168,0.032074,0.0095,-0.113824,-0.037314,-0.000895,0.002104,-0.003447,0.003194,-0.022107,0.005594,-0.001501,0.001996,-0.000371,0.001171,0.002169,-0.002814
Bakola,-0.641393,0.060424,0.026587,0.030847,0.001231,0.004183,0.157692,-0.122187,-0.015339,0.032256,0.006171,-0.089246,-0.02884,-0.00172,0.004682,-0.002917,0.001108,0.00266,0.000503,0.001563,-0.000873,-0.003957,-0.001479,0.001265,-0.001437
Balkar,0.106994,0.084289,-0.022376,-0.015289,-0.033442,0.000837,0.008225,-0.005692,-0.054949,-0.027092,-0.004276,0.008692,-0.012438,0.001697,0.005565,-0.013922,0.006085,-0.004181,-0.008506,0.01484,0.006447,0.002349,-0.000822,-0.005623,-0.00475
Balochi,0.068863,0.051876,-0.100628,0.030739,-0.072603,0.031491,0.005582,0.001577,-0.022736,-0.020805,-0.003884,-0.002148,0.003927,-0.008017,0.015958,0.030098,-0.010137,0.002924,0.007269,-0.026513,-0.001071,-0.015209,0.00037,-0.016097,0.013761
Bantu_Kenya,-0.600986,0.062455,0.014708,0.01179,0.002,0.00753,-0.012338,0.026537,0.002966,-0.02442,-0.002355,0.013338,-0.032036,0.003303,-0.035287,0.025921,-0.015255,-0.004371,-0.015272,0.006003,0.00287,-0.005132,-0.00302,0.000361,0.002215
Bantu_S.E.,-0.629315,0.063753,0.020197,0.017837,-0.001163,0.009451,0.02935,-0.012999,-0.02143,0.011461,0.002418,-0.007793,-0.011199,0.002294,-0.009817,0.006364,-0.005186,0.060318,-0.024916,0.003474,-0.004187,-0.000989,0.002342,0.001004,-0.000439
Bantu_S.W.,-0.622287,0.065864,0.018425,0.016012,0.000615,0.00757,0.001444,0.008934,-0.027435,0.017286,0.002853,-0.004646,-0.003037,0.001966,-0.005157,0.004887,-0.00339,0.02179,-0.010684,0.003788,-0.001177,0.000459,0.001497,0.000241,-0.000547
Bashkir,0.090508,-0.102306,0.06366,0.031758,-0.036166,-0.002987,0.008642,0.011166,-0.00764,-0.020081,0.00296,-0.004037,0.00985,-0.019303,-0.00503,-0.003007,-0.002616,-0.001063,-0.003301,-0.002562,-0.008348,0.0015,-0.002242,0.001376,-0.00185
Basque_French,0.128051,0.152025,0.055173,0.012823,0.056411,0.00251,-0.00141,0.003323,0.030597,0.041204,-0.009272,0.010341,-0.020976,-0.014024,0.013219,-0.001936,-0.011917,0.003028,-0.000716,-0.004415,0.010157,0.002485,-0.00864,-0.00917,7.2e-05
Basque_Spanish,0.131908,0.150411,0.058286,0.009008,0.057583,0.000124,-0.003316,0.00041,0.03136,0.045599,-0.004529,0.011606,-0.022778,-0.018763,0.017945,0.003727,-0.005809,0.002773,-0.001816,-7e-05,0.00879,0.002487,-0.006888,-0.009037,0.002262
Batak,-0.006829,-0.356451,-0.097486,0.01615,0.116176,0.000418,-0.002468,-0.014192,-0.005215,-0.007381,0.051883,0.008467,-0.006169,0.002959,0.005565,0.004177,0.004498,0.004244,0.00729,-0.002439,-0.003743,-0.021268,-0.013865,-0.008134,-0.049277
BedouinA,0.028582,0.133599,-0.047601,-0.08276,-0.013883,-0.032351,-0.010706,-0.004641,0.023452,-0.00162,0.008173,-0.010724,0.024744,0.000474,0.001568,0.007057,-0.002738,-0.002238,-0.003408,0.008254,0.000208,0.002528,0.000192,0.001767,-0.001597
BedouinB,0.041924,0.143923,-0.059815,-0.116981,-0.009318,-0.048062,-0.014101,-0.008743,0.05154,-0.005204,0.015869,-0.030573,0.062949,0.004855,0.004396,0.028853,-0.019971,0.00366,-0.004015,0.029,0.010967,0.01523,-0.003917,0.007103,-0.008309
Bedzan,-0.641962,0.062963,0.022816,0.02794,0.002308,0.00753,0.136071,-0.099227,-0.020452,0.03098,0.006496,-0.081602,-0.025495,-0.005298,0.004411,-0.003779,0.003325,-0.001964,0.001948,0.002001,-0.00443,-0.001669,-0.001356,-0.001627,-0.002155
Belarusian,0.132262,0.123623,0.075022,0.069596,0.040233,0.026569,0.010732,0.013322,-0.000273,-0.024602,-0.002696,-0.009212,0.019326,0.027231,-0.011265,-0.003801,-0.000965,0.000372,0.00414,-0.001051,-0.004234,-0.004608,0.007724,-0.00686,0.000695
Belgian,0.127187,0.137887,0.050869,0.02852,0.038879,0.011218,0.004239,0.003453,0.007416,0.011049,-0.005052,0.004701,-0.01273,-0.009613,0.013145,0.00357,-0.004404,0.00221,0.002211,-0.001278,0.003549,0.001749,-0.001406,0.010291,0.001109
Bengali_Bangladesh,0.043578,-0.110838,-0.150633,0.102484,-0.058384,0.061436,-0.003693,0.009659,0.042658,0.028923,-0.006496,-0.001306,-0.000616,0.00291,-0.004711,-0.008315,0.004005,0.001647,-0.00158,0.003716,-0.000909,0.002155,0.002676,0.004613,8.6e-05
Berber_Algeria,-0.293664,0.105158,0.001999,-0.040068,0.014449,-0.012341,-0.036673,0.021057,0.026936,0.021531,0.005757,-0.004526,0.021318,-0.007432,0.011428,-0.00883,0.003123,-0.011079,-0.023053,0.00499,-0.007362,-0.019636,0.012177,-0.000361,0.002652
Berber_MAR_ERR,-0.092359,0.130931,-0.003286,-0.071199,0.025653,-0.032491,-0.031223,0.010104,0.067347,0.029926,0.009848,-0.005973,0.021662,-0.016141,0.020193,-0.01414,-0.005979,-0.021365,-0.046131,0.009478,-0.016453,-0.041627,0.024808,-0.002066,0.005372
Berber_MAR_TIZ,-0.102522,0.131656,-0.002317,-0.075952,0.031061,-0.035658,-0.033506,0.012016,0.076653,0.031566,0.008815,-0.00926,0.024731,-0.020417,0.020348,-0.015721,0.000112,-0.028831,-0.053422,0.011916,-0.02082,-0.051113,0.030742,-0.00519,0.007467
Berber_Tunisia_Chen,-0.02795,0.139071,-0.008087,-0.07648,0.027732,-0.035202,-0.031387,0.005282,0.068425,0.029796,0.004006,-0.004388,0.019632,-0.016125,0.014092,-0.016905,0.000152,-0.02329,-0.046725,0.007858,-0.016831,-0.040428,0.028135,-0.004452,0.006367
Berber_Tunisia_Sen,-0.039102,0.134767,-0.018967,-0.0779,0.018809,-0.035567,-0.021662,0.005864,0.057688,0.020561,0.005645,-0.012236,0.026322,-0.009407,0.012478,-0.005007,-0.005691,-0.013168,-0.030338,0.01152,-0.008514,-0.024185,0.015,-5e-05,0.000549
Besermyan,0.10927,-0.00897,0.072219,0.06137,-0.022466,0.006786,0.006541,0.011038,-0.010635,-0.028459,0.013587,-0.00587,0.011422,-0.025758,-0.00993,-0.00716,-0.007432,0.000971,-0.010538,-0.008379,-0.001705,0.004019,-0.004601,0.005081,-0.002415
Bhumij,0.002276,-0.215292,-0.178001,0.125648,-0.012156,0.07279,-0.00705,0.007269,0.075572,0.045468,0.023952,0.007119,-0.00446,0.011973,-0.021444,-0.029037,0.016428,-0.003991,-0.005405,0.027701,0.002932,0.014096,-0.003882,0.006447,0.008023
Biaka,-0.642152,0.061947,0.026524,0.033108,0.001693,0.00832,0.172106,-0.133879,-0.022498,0.039454,0.015995,-0.147569,-0.048191,-0.002546,0.003823,-0.003425,-0.000891,-0.029603,0.010203,-0.000604,0.002288,-0.001484,-0.001582,0.001004,-0.003093
Birhor,0.003225,-0.227084,-0.172868,0.114809,-0.009574,0.063308,-0.006176,0.011205,0.082491,0.050236,0.019649,0.003988,-0.004451,0.013739,-0.019777,-0.023549,0.015074,-0.004441,-0.003638,0.028006,0.000957,0.01861,-0.005019,0.010149,0.002701
Bolivian_Cochabamba,0.052359,-0.271146,0.111628,0.088825,-0.096633,-0.022311,-0.275667,-0.323986,-0.010635,-0.014761,-0.004547,0.003897,-0.002379,0.020231,-0.004886,0.002254,0.002347,-0.000127,-0.006913,-0.003502,0.004866,0.009274,-0.006039,-0.002289,0.00467
Bolivian_LaPaz,0.056912,-0.302628,0.116405,0.09044,-0.114483,-0.017663,-0.291883,-0.35137,-0.008999,-0.010327,-0.004655,-0.002947,0.001883,0.021469,-0.011853,0.005746,0.006041,-0.005405,-0.000922,0.000459,-0.002204,0.005193,-0.002752,-0.000843,-0.002355
Bolivian_Pando,0.053497,-0.262684,0.110748,0.083765,-0.096531,-0.013294,-0.267129,-0.323756,-0.011658,-0.007411,-0.00498,-0.00055,-0.000545,0.023212,-0.007465,-0.000133,-4.3e-05,0.002956,4.2e-05,0.001667,-0.001414,0.004245,-0.000698,0.001245,-0.001357
Bonan,0.030277,-0.394939,0.006901,-0.049548,0.029944,0.017347,0.005805,0.002169,-0.009817,0.004082,-0.06718,-0.007194,0.009157,-0.005959,-0.005171,-0.000305,0.001838,-0.001254,-0.004374,-0.003452,0.003993,0.011265,0.007099,0.001579,0.01134
Bonda,0.005312,-0.264038,-0.160653,0.095501,0.016926,0.066004,-0.005405,0.008615,0.07322,0.042704,0.031882,0.005945,-0.003816,0.017111,-0.020449,-0.023513,0.009692,-0.000296,-0.002263,0.03139,-0.000582,0.020856,-0.010435,0.012291,0.012893
Bosnian,0.129075,0.134862,0.044953,0.024807,0.031206,0.009873,0.004841,0.005215,-0.002413,-0.001859,0.000422,-0.002817,0.00556,0.016239,-0.012541,0.001008,0.006676,-0.000583,0.004827,0.003026,-0.005091,-0.003438,0.007518,0.001229,-0.001629
Brahmin_Gujarat,0.063456,-0.020463,-0.121376,0.092976,-0.074445,0.054216,0.00168,0.007465,0.01309,0.003709,-0.005724,0.00027,-0.000416,-0.00472,0.004655,0.006444,0,-0.000139,-0.000264,-0.006885,-0.000387,-0.00366,0.001997,0.000247,-9e-05
Brahmin_Manipuri,0.033692,-0.256523,-0.079723,0.032752,-0.004416,0.042099,0.001798,0.005019,0.019685,0.01488,-0.028483,-0.002368,0.00498,-0.002291,-0.00851,-0.003268,0.006663,-0.002008,-0.005964,0.00424,-0.000524,0.015259,0.002878,0.003796,0.021118
Brahmin_Tamil_Nadu,0.054066,-0.048238,-0.139912,0.098354,-0.07586,0.059125,0.001175,0.009807,0.024543,0.018132,-0.007713,-0.000824,-0.00394,0.000413,0.006379,0.008817,0.01004,-0.0019,-0.001257,-0.001626,0.002558,-0.002535,0.000123,0.002109,-0.000778
Brahmin_Uttar_Pradesh,0.064737,-0.033639,-0.130154,0.112606,-0.073129,0.065051,0.000353,0.009,0.028787,0.012324,-0.006232,0.001667,-0.004646,-0.001239,0.008805,-0.004856,-0.009648,0.001172,-0.002357,-0.010974,-0.00078,0.000108,0.002681,0.003208,-0.008158
Brahmin_West_Bengal,0.056342,-0.053766,-0.125937,0.101476,-0.062747,0.057699,0.001397,0.008756,0.025463,0.014184,-0.002707,0.001299,-0.002717,-0.00198,-0.00049,-0.000567,0.001601,2.8e-05,-0.000391,-0.000917,0.000111,-0.000975,0.001801,0.003146,-0.001317
Brahui,0.068654,0.048531,-0.103251,0.03179,-0.073164,0.029695,0.005616,0.002235,-0.02126,-0.02043,-0.003384,-0.003644,0.005195,-0.010365,0.015644,0.02984,-0.00993,0.004507,0.005703,-0.025973,-0.000453,-0.015027,-0.000824,-0.017054,0.012441
Bulala,-0.523586,0.070072,0.005468,-0.016473,-0.000615,-0.005299,-0.031609,0.026768,0.052358,-0.055218,-0.009987,0.010491,-0.015981,-0.00523,0.010993,-0.013524,0.014016,-0.008805,0.003268,-0.009192,-0.00262,-0.00272,0.004067,-0.003133,0.001317
Bulgarian,0.12475,0.134862,0.025644,0.005362,0.02462,-0.000837,0.005499,0.003046,-0.000286,0.006998,-0.003345,0.000899,0.002111,0.008643,-0.014305,-0.002228,0.007093,0.002002,0.003142,-0.003702,-0.004617,-0.000544,0.00281,-0.002482,-0.001078
Burmese,0.01935,-0.378792,-0.045506,-0.020026,0.050163,0.037557,-0.000548,0.000769,0.004772,0.009476,-0.02241,-0.001948,0.006095,-0.001422,-0.007872,-0.002166,0.007649,-0.003632,-0.006117,0.008379,-0.001081,0.022711,0.004519,0.004097,0.031734
Burusho,0.071253,-0.037321,-0.08604,0.061548,-0.065905,0.03871,0.003408,0.003115,-0.010891,-0.010342,-0.013024,-0.001529,0.000178,-0.010411,0.009086,0.009732,1.3e-05,-0.001185,0.000138,-0.006497,-0.003849,-0.00115,0.003741,-0.000349,0.004515
Buryat,0.050765,-0.33218,0.077649,-0.022352,-0.063581,-0.034053,0.017978,0.023699,0.006831,0.010515,-0.020607,-0.001094,0.000297,0.006055,0.004655,0.002281,0.000561,-0.000456,0.005669,0.016095,-0.021961,-0.010956,-0.023109,-0.003723,0.003054
Cachi,0.052643,-0.292472,0.112759,0.090602,-0.105481,-0.018198,-0.285949,-0.341697,-0.010891,-0.012255,-0.001867,-0.001424,0.001598,0.022811,-0.006447,0.004243,0.009551,0.001805,-0.000189,-0.001094,-0.001248,0.005626,-0.001541,-0.001627,0.000569
Cambodian,0.016694,-0.399441,-0.061973,-0.034346,0.115919,0.061821,0.000235,-0.005538,-0.005659,-0.011602,0.039406,0.001848,-0.001784,-0.002752,-0.001538,-0.003978,-0.002303,-0.002576,-0.004735,0.005586,-0.003785,0.011211,-0.000698,8e-05,0.021515
Cameroon_Aghem,-0.62871,0.062273,0.020621,0.015677,-0.000473,0.013616,-0.025121,0.030642,-0.036215,0.019024,0.004982,0.000225,0.006058,0.000226,0.000756,0.000303,0.000983,-0.000335,0.001185,0.00314,-0.001069,0.001621,-0.001959,0.000155,-0.000107
Cameroon_Bafut,-0.628407,0.061394,0.019748,0.01615,-2.8e-05,0.016455,-0.02395,0.031258,-0.037539,0.020394,0.002982,-0.000504,0.005325,0.001864,-0.000518,0.000362,-0.002833,0.001635,0.001337,0.001762,0.001792,0.001124,-0.000403,-0.000307,0.001219
Cameroon_Bakoko,-0.622612,0.061947,0.030924,0.017119,0.007078,0.010877,-0.027261,0.032306,-0.040496,0.015855,-0.001786,0.005695,0.003271,-0.001927,0.004072,-0.001989,0.002999,-0.004941,0.004399,-0.000125,-0.002745,0.004946,0.002588,0.001687,-0.000838
Cameroon_Bangwa,-0.625458,0.060424,0.020742,0.019865,0.002924,0.010319,-0.026791,0.036345,-0.03661,0.022324,0.005034,-0.006669,0.001933,-6.9e-05,-0.005565,0.002254,-0.008279,-0.009628,-0.0022,-0.004127,-0.003556,0.003339,-0.001541,-0.001386,-0.003353
Cameroon_Mbo,-0.629984,0.064269,0.021729,0.017196,0,0.012364,-0.026198,0.029504,-0.037262,0.020315,0.000433,-0.003026,0.005246,0.001501,-0.001196,0.002557,-0.002092,0.000483,-0.000593,0.001536,0.001777,0.001855,0.001414,-0.001148,-0.000992
Chamar,0.037941,-0.096475,-0.169139,0.126671,-0.071654,0.06619,-0.003251,0.012269,0.059312,0.038239,-0.005142,-0.001124,0.001487,0.004473,-0.0095,-0.012684,0.007627,-0.00133,-0.003918,0.006503,0.002163,0.005915,0.00076,0.002872,-0.006407
Chechen,0.112306,0.101891,-0.031594,-0.008793,-0.035083,0.009017,0.008591,-0.005923,-0.05529,-0.032175,-0.000992,0.007577,-0.017212,-0.005214,0.011039,-0.008427,0.004766,-0.005828,-0.010461,0.011631,0.003868,0.002748,0.003985,0.00715,-0.004604
Chenchu,0.03263,-0.114417,-0.165179,0.110144,-0.065858,0.060054,-0.004308,0.014153,0.052972,0.037115,-0.008769,-0.000999,-0.002478,0.006239,-0.009636,-0.014629,0.003433,-0.003927,-0.003771,0.00963,0.000749,0.00136,0.002218,0.002771,-0.00487
Cherkes,0.10927,0.083984,-0.020666,-0.015956,-0.03256,0.002371,0.010669,-0.002008,-0.047818,-0.024547,-0.003914,0.006849,-0.012532,0.003262,2.7e-05,-0.016587,0.004929,-0.002128,-0.00714,0.015658,0.008048,-0.00042,0.001578,-0.006157,-0.001413
Chipewyan,0.054635,-0.321923,0.107857,0.068799,-0.102942,-0.016455,-0.181898,-0.214491,-0.011249,-0.025422,0.010393,-0.00592,0.007805,-0.000895,-0.012418,-0.00179,-0.000652,0.002597,0.009993,0.009942,0.004243,-0.009398,0.001171,0.00494,0.006227
Chukchi,0.046667,-0.378792,0.119698,0.02668,-0.121807,-0.053212,-0.061432,-0.068582,0.00814,-0.006087,0.037349,-0.001589,0.004965,-0.022625,-0.033306,-0.018563,-0.000287,0.016267,0.035975,0.019885,0.036461,-0.054679,0.0123,0.022726,0.034799
Chuvash,0.109523,-0.013992,0.08238,0.055305,-0.014328,0.00595,0.013709,0.016538,-0.009772,-0.034382,0.01826,-0.011373,0.025983,-0.023243,-0.026179,-0.017104,-0.001724,-0.005152,-0.025461,-0.022177,0.007847,0.003325,-0.03262,0.006092,-0.001504
Circassian,0.109397,0.084627,-0.023046,-0.018447,-0.032861,-3.1e-05,0.006972,-0.001846,-0.049495,-0.024075,-0.001877,0.006394,-0.014387,0.002844,0.002111,-0.016191,0.004056,-0.004617,-0.00905,0.015132,0.005213,0.001676,0.000301,-0.008984,-0.001384
Colla,0.053876,-0.294842,0.118793,0.090333,-0.110174,-0.017663,-0.291335,-0.350601,-0.012817,-0.01464,-0.003897,-0.002947,0.002924,0.021744,-0.00475,0.009414,0.007258,-0.000633,0.001299,0.002043,-0.005324,0.006183,-0.000493,0.001928,-0.001676
Cossack_Kuban,0.130897,0.098506,0.075047,0.064277,0.033852,0.016176,0.0094,0.017076,0.000205,-0.02442,0,-0.006594,0.017988,0.012799,-0.009636,0.008088,0.021905,0.000633,-0.002514,0.006003,0.005865,-0.000866,-0.003204,0.002771,-0.003473
Cossack_Ukrainian,0.135449,0.116786,0.071653,0.060078,0.033852,0.023148,0.011281,0.010615,0.003068,-0.017859,-0.000974,-0.008243,0.017839,0.021744,-0.009093,0.001989,0.000391,0.005194,0.00352,0.003377,-0.009608,-0.002349,0.004067,-0.006868,0.000599
Cree,0.075692,-0.188888,0.096731,0.062501,-0.070321,-0.009761,-0.150524,-0.177339,-0.003988,-0.014943,0.001056,-0.001948,0.003791,0.002133,-0.007668,0.00358,0.007693,0.00228,0.003582,0.006065,-0.005303,-0.005255,0.006902,0.009459,-0.000299
Croatian,0.128051,0.133847,0.051892,0.031493,0.035822,0.012522,0.006016,0.006738,0.001841,-0.005886,-0.001153,-0.002383,0.004727,0.012785,-0.006637,-0.002201,0.002751,-0.000722,0.00181,-0.00075,-0.005166,-0.002424,0.004425,-0.001097,0.00018
Cypriot,0.099737,0.146744,-0.037853,-0.070253,-0.007001,-0.024298,0.001645,-0.004759,0.002966,0.013873,0.004445,-0.00015,0.002546,0.001824,-0.008601,0.000895,0.002363,0.000998,0.002247,-0.001251,-0.002449,0.001144,-0.002711,0.001777,-0.002066
